"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std","model"
"188",12,0.2,0.5,1,0.5,0,1,"hist",28,0.154997,0.00326661763908828,0.1854166,0.00176602464309031,3
"189",12,0.2,0.5,1,0.5,0,1,"hist",29,0.1538702,0.00326883217066835,0.1849102,0.00219002094967106,3
"190",12,0.2,0.5,1,0.5,0,1,"hist",30,0.1523206,0.00286126878150282,0.1843102,0.00214308864958862,3
"191",12,0.2,0.5,1,0.5,0,1,"hist",31,0.15092,0.00249624958688038,0.1839696,0.0019922966244999,3
"192",12,0.2,0.5,1,0.5,0,1,"hist",32,0.1499998,0.00251814720776907,0.183849,0.00215417000257752,3
"193",12,0.2,0.5,1,0.5,0,1,"hist",33,0.1488086,0.00249464719750188,0.1835852,0.00187189480473599,3
"194",12,0.2,0.5,1,0.5,0,1,"hist",34,0.1475848,0.0021089368316764,0.183458,0.0019435074478888,3
"195",12,0.2,0.5,1,0.5,0,1,"hist",35,0.1466796,0.0022863010825355,0.183698,0.00179119948637826,3
"196",12,0.2,0.5,1,0.5,0,1,"hist",36,0.1461262,0.00234307707086326,0.1836842,0.00195433174256629,3
"197",12,0.2,0.5,1,0.5,0,1,"hist",37,0.1449032,0.00211003501392797,0.183375,0.00184097169994482,3
"198",12,0.2,0.5,1,0.5,0,1,"hist",38,0.1436266,0.00168943784733316,0.1828752,0.00100242553837924,3
"199",12,0.2,0.5,1,0.5,0,1,"hist",39,0.1428774,0.00147053236618665,0.1828818,0.00103499379708104,3
"200",12,0.2,0.5,1,0.5,0,1,"hist",40,0.142348,0.00144649548910494,0.1827058,0.00112071448638848,3
"201",12,0.2,0.5,1,0.5,0,1,"hist",41,0.1414932,0.00195788686087829,0.182638,0.00111860109065043,3
"202",12,0.2,0.5,1,0.5,0,1,"hist",42,0.1408282,0.00198338351308963,0.1826218,0.00108324593698529,3
"203",12,0.2,0.5,1,0.5,0,1,"hist",43,0.1400038,0.00209019543583898,0.1822984,0.0010832389579403,3
"204",12,0.2,0.5,1,0.5,0,1,"hist",44,0.1391182,0.00200105506171075,0.1818976,0.000853869451378395,3
"205",12,0.2,0.5,1,0.5,0,1,"hist",45,0.1383774,0.00182684302554871,0.182197,0.000803584220852577,3
"206",12,0.2,0.5,1,0.5,0,1,"hist",46,0.1376476,0.00177433081470095,0.1819974,0.000865737512179627,3
"207",12,0.2,0.5,1,0.5,0,1,"hist",47,0.1372174,0.00169986512406218,0.181994,0.000854886425202577,3
"208",12,0.2,0.5,1,0.5,0,1,"hist",48,0.136714,0.00196247252210108,0.1820464,0.000873249242772827,3
"209",12,0.2,0.5,1,0.5,0,1,"hist",49,0.1359376,0.0020064406893815,0.1820114,0.00077631091709381,3
"210",12,0.2,0.5,1,0.5,0,1,"hist",50,0.1352734,0.00185307318797802,0.1821162,0.000891813971632411,3
"211",12,0.2,0.5,1,0.5,0,1,"hist",51,0.1347038,0.00187322143912698,0.1819386,0.000879172929516006,3
"212",12,0.2,0.5,1,0.5,0,1,"hist",52,0.133782,0.00239907665571493,0.1816968,0.00110272161491563,3
"213",12,0.2,0.5,1,0.5,0,1,"hist",53,0.1332302,0.00204181619153119,0.1818406,0.00079546529779996,3
"214",12,0.2,0.5,1,0.5,0,1,"hist",54,0.1325336,0.00190814345372679,0.1817994,0.000833660026628485,3
"215",12,0.2,0.5,1,0.5,0,1,"hist",55,0.1319606,0.00198044788873751,0.1817356,0.000929333223337218,3
"216",12,0.2,0.5,1,0.5,0,1,"hist",56,0.1312464,0.00204104312546267,0.1817002,0.00105630722803347,3
"217",12,0.2,0.5,1,0.5,0,1,"hist",57,0.1305946,0.00202643535302696,0.1815322,0.000952416799517345,3
