"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"149",3,0,1,1,1,0,1,"hist",69,0.224878,0.000901958092152652,0.2272188,0.00146036987095724
"150",3,0,1,1,1,0,1,"hist",70,0.2246242,0.000934592403137392,0.2270368,0.00146876198208055
"151",3,0,1,1,1,0,1,"hist",71,0.2243524,0.000847231396960432,0.2268026,0.00146186218228569
"152",3,0,1,1,1,0,1,"hist",72,0.2241224,0.000830638212463315,0.2265994,0.00136272955497298
"153",3,0,1,1,1,0,1,"hist",73,0.2239026,0.000902286340355882,0.2263998,0.00142629792119085
"154",3,0,1,1,1,0,1,"hist",74,0.2236608,0.000887775512167,0.2261872,0.00145346501849881
"155",3,0,1,1,1,0,1,"hist",75,0.2234538,0.000835597127806561,0.2260748,0.00148389519845788
"156",3,0,1,1,1,0,1,"hist",76,0.2231434,0.000875763347031187,0.2258072,0.00154273074773419
"157",3,0,1,1,1,0,1,"hist",77,0.222899,0.000930364014780667,0.225595,0.00156028112851413
"158",3,0,1,1,1,0,1,"hist",78,0.2226082,0.00104087739911848,0.2253766,0.00162052838296883
"159",3,0,1,1,1,0,1,"hist",79,0.2223474,0.00106369950643877,0.2252284,0.00165802069951044
"160",3,0,1,1,1,0,1,"hist",80,0.2222,0.00100685907653538,0.2250822,0.00162588799122174
"161",4,0,1,1,1,0,1,"hist",1,0.2970394,0.000277833475311819,0.2971302,0.0010951393335964
"162",4,0,1,1,1,0,1,"hist",2,0.2754382,0.00030309694818074,0.2757284,0.00113111265575456
"163",4,0,1,1,1,0,1,"hist",3,0.2688826,0.000815724855579211,0.2692052,0.00115168752705651
"164",4,0,1,1,1,0,1,"hist",4,0.264498,0.000856882955824991,0.2649188,0.00149415158534945
"165",4,0,1,1,1,0,1,"hist",5,0.2604614,0.00127020511729093,0.2609184,0.00203666517621127
"166",4,0,1,1,1,0,1,"hist",6,0.2571356,0.000861040904945915,0.2576482,0.00169382176158335
"167",4,0,1,1,1,0,1,"hist",7,0.254059,0.00147693520507151,0.2546006,0.00203616213499832
"168",4,0,1,1,1,0,1,"hist",8,0.2518056,0.000931207087598367,0.2524224,0.00199483398808085
